,Company Name,Query,URL,Name of Web Page,Web Page Snippet
10,Microsoft,disabled employee news at Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx,Inside Microsoft,"Disability at Microsoft Representing employees with conditions such as hearing loss, blindness, visual impairments, ADD, mobility disabilities, and dyslexia, the Microsoft Disability employee resource group drives internal visibility and collaborates with product teams to design, develop, and build accessible, inclusive products."
11,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/features/leaders-who-revealed-disabilities-found-unexpected-rewards/,Leaders who revealed their ... - news.microsoft.com,"Microsoft has more than 20 resource groups for employees with disabilities, a robust autism hiring program and programs to share best practices with other companies on hiring, promoting, integrating and retaining employees with disabilities."
12,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/features/how-gamers-with-disabilities-helped-design-the-new-xbox-adaptive-controllers-elegantly-accessible-packaging/,How gamers with disabilities helped ... - news.microsoft.com,"Recognizing that reality, Microsoft’s Packaging Design team faced a unique challenge in creating a box for the new Xbox Adaptive Controller, designed to accommodate gamers with limited mobility. The box for the device, which will be available for $99.99 in September through the Microsoft Store, needed to be as accessible as what was inside."
13,Microsoft,disabled employee news at Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/cross-disability/disabilityhiring,Disability Hiring - microsoft.com,"Learn about our Microsoft Inclusive Hiring initiatives from Jessica Rafuse, NGO Program Manager on the Microsoft Accessibility team. At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. Having a diverse workforce that includes people with ..."
14,Microsoft,disabled employee news at Microsoft,https://microsoftnews.msn.com/,Microsoft News,Microsoft News
15,Microsoft,disabled employee news at Microsoft,https://www.cnbc.com/2021/03/22/microsoft-to-reopen-its-headquarters-to-more-employees-on-march-29.html,Microsoft to reopen its headquarters to more employees on ...,"Microsoft will allow employees who work at its Redmond, Washington, sites and nearby campuses to choose between returning full time, part time or stay remote."
16,Microsoft,disabled employee news at Microsoft,https://www.cbsnews.com/news/microsoft-employees-office-reopening-hybrid-work/,Microsoft says Washington employees can head ... - CBS News,Microsoft says Washington employees can head back to the office. But a new study from the company suggests many won't want to. By Sarah Ewall-Wice
17,Microsoft,disabled employee news at Microsoft,https://techcommunity.microsoft.com/t5/microsoft-forms-blog/ownership-transfer-of-your-employees-forms/ba-p/389244,Ownership transfer of your employees forms,"If you’re the global administrator of an organization, you’re probably familiar with digital property sitting in the account of an employee that has left your company and/or whose account has been disabled. To prevent digital property loss, you can now gain access to the forms of that former employee or from a disabled account."
18,Microsoft,disabled employee news at Microsoft,https://www.forbes.com/sites/denisebrodey/2020/10/21/in-bold-benchmarking-move-microsoft-reveals-61-disability-representation-for-the-first-time/,Microsoft Reveals 6.1% Disability Representation For The ...,"A newly released report from Microsoft reveals that 6.1 % of the company’s U.S. employees self-identify as disabled, meaning they have a physical, mental or cognitive disability."
19,Microsoft,disabled employee news at Microsoft,https://alsnewstoday.com/news-posts/2020/09/21/former-nfl-player-microsoft-team-to-make-technology-more-accessible/,"Former NFL Player With ALS, Microsoft ... - ALS News Today","The project awarded cash grants, Microsoft tools, the ability to store data on the cloud, and employee expertise. It has awarded more than 40 grants to organizations and companies working on ways to use AI to help those with disabilities."
20,Microsoft,disabled employee news at Microsoft,https://blogs.microsoft.com/accessibility/inclusive-remote-working/,What the disability community can ... - blogs.microsoft.com,"The biggest source of knowledge right now are your employees, especially those in your disability employee communities. The insight and learning here will accelerate the learning curve. Three of our employees have already posted articles with details of how they are working day to day pragmatics:"
21,Microsoft,disabled employee news at Microsoft,https://www.hrdconnect.com/2018/10/16/the-benefits-of-disability-diversity-in-the-workplace/,The benefits of disability diversity in the workplace,"Penny Mordaunt speaks out for the disabled. In 2016, Marketing Week carried out a survey which displayed there was an obvious lack of representation of disabled employees within workplaces across the UK. Those surveyed claimed only 51% worked alongside a disabled person, while only a minor 22% of consumers believe that disability is well-represented both in the media."
22,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/employee-experience/,Reimagine the employee experience - news.microsoft.com,"Microsoft Viva: empowering every employee for the new digital age. Today we’re introducing Microsoft Viva, the first employee experience platform built for the digital era. Microsoft Viva brings together communications, knowledge, learning, resources and insights into an integrated experience that empowers people and teams to be their best, from anywhere."
23,Microsoft,disabled employee news at Microsoft,https://www.popsugar.com/smart-living/Interview-Microsoft-About-Disability-Inclusion-45326888,Interview With Microsoft About Disability Inclusion ...,"NB: The disAbility ERG's goal is to enable employees at Microsoft to reach their full potential through inclusion, representation, and access to accommodations, and in doing so, be the employer of..."
24,Microsoft,disabled employee news at Microsoft,https://nypost.com/2020/10/09/microsoft-will-soon-allow-employees-to-stay-remote-permanently/,Microsoft will allow employees to stay remote permanently,Microsoft is the latest name in Big Tech to tell its workforce not to worry about coming back to the office. The software giant has reportedly told its employees to feel free to work from home ...
25,Microsoft,disabled employee news at Microsoft,https://www.zdnet.com/article/microsoft-told-employees-to-work-from-home-one-consequence-was-brutal/,Microsoft told employees to work from home. One ...,Microsoft told employees to work from home. One consequence was brutal. Many people think they have a good idea of what working from home now means.
26,Microsoft,disabled employee news at Microsoft,https://techcrunch.com/2021/02/04/microsoft-launches-viva-its-new-take-on-the-old-intranet/,"Microsoft launches Viva, its new take on the old intranet ...","Microsoft today launched Viva, a new “employee experience platform,” or, in non-marketing terms, its new take on the intranet sites most large companies tend to offer their employees. This ..."
27,Microsoft,disabled employee news at Microsoft,https://www.usatoday.com/story/news/nation/2019/04/19/microsoft-debate-raging-after-employees-question-diversity-push/3525934002/,Microsoft debate raging after employees question diversity ...,Microsoft declined to comment on the message board threads but told USA TODAY many of the comments were made by two dozen or so employees. Three executives posted responses on the internal message ...
28,Microsoft,disabled employee news at Microsoft,https://support.microsoft.com/en-us/contactus,Contact Us - Microsoft Support,"Contact Microsoft Support. Find solutions to common problems, or get help from a support agent."
29,Microsoft,disabled employee news at Microsoft,https://www.usatoday.com/story/money/2020/10/11/microsoft-reveals-permanent-work-home-policy/5960462002/,Microsoft reveals permanent work-from-home policy,"Microsoft plans to let more workers work from home post-pandemic. The Redmond, Washington-based conglomerate unveiled plans to adopt a ""hybrid workplace"" environment as it copes with the raging ..."
30,Microsoft,disabled employee news at Microsoft,https://hbr.org/2019/06/why-people-hide-their-disabilities-at-work,Why People Hide Their Disabilities at Work,"In our survey, 13% of employees told us that their disability (or at least one of their disabilities if they reported multiple) was visible; they wear this aspect of their identity for the world ..."
31,Microsoft,disabled employee news at Microsoft,https://www.disabilityscoop.com/2015/04/07/microsoft-employees-autism/20193/,Microsoft Recruiting Employees With Autism - Disability Scoop,"Initially, the program is expected to include about 10 people with autism, a Microsoft spokeswoman told Disability Scoop. “Microsoft is stronger when we expand opportunity and we have a diverse workforce that represents our customers,” wrote Mary Ellen Smith, Microsoft’s corporate vice president of worldwide operations, in a blog post announcing the pilot program."
32,Microsoft,disabled employee news at Microsoft,https://www.theguardian.com/technology/2020/nov/26/microsoft-productivity-score-feature-criticised-workplace-surveillance,Microsoft productivity score feature criticised as ...,Microsoft has been criticised for enabling “workplace surveillance” after privacy campaigners warned that the company’s “productivity score” feature allows managers to use Microsoft 365 ...
33,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_o365admin-mso_dirservices-mso_o365b/i-have-mfa-disabled-but-account-is-still-asking-to/d1d50b90-fe46-4836-bfdf-429478e26069,I have MFA disabled but account is ... - answers.microsoft.com,I have MFA disabled but account is still asking to perfom 2FA I have an email service account that I use for support emails with no assigned user. I do not wish to have any type of phone verification on this account as I do not have a designated phone to provide.
34,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/stories/xbox-adaptive-controller/,Plugged In | Microsoft Story Labs,"The genesis of the Xbox Adaptive Controller goes back to 2014, when a Microsoft engineer was scrolling through Twitter and noticed a photo of a custom gaming controller made by Warfighter Engaged, a nonprofit organization that provides gaming devices to wounded vets. The employee reached out to the organization's founder, Ken Jones, and learned how difficult it was for injured veterans ..."
35,Microsoft,disabled employee news at Microsoft,https://www.forbes.com/sites/sarahkim/2019/10/24/sub-minimum-wages-disability/,The Truth Of Disability Employment That No One Talks About,"At such jobs, employees often do piecemeal work, which is often referred to as the eight Fs of disability employment: food, filth, fetching, folding, filing, flower, festive and friendly."
36,Microsoft,disabled employee news at Microsoft,https://www.courthousenews.com/workers-on-porn-detail-sue-microsoft-for-injuries/,Workers on Porn Detail Sue Microsoft for Injuries ...,"SEATTLE (CN) — Two Microsoft employees who had to watch “horrific images” of murder, child pornography and bestiality as part of their “online safety” job have sued the company after developing post-traumatic stress disorder.. Henry Soto and Greg Blauert say Microsoft failed to warn them about the dangers of the job and failed to provide psychological support."
37,Microsoft,disabled employee news at Microsoft,https://techcommunity.microsoft.com/t5/windows-10/possible-to-disable-microsoft-store-while-allowing-app-updates/m-p/900121,Possible to disable Microsoft Store while allowing app ...,"Windows 10 Pro from 1511 build upward, you notice that the Group Policy settings to disable Microsoft Store are not applied, and you cannot disable Microsoft Store . This behavior is by design. In Windows 10, version 1511, Windows 10, version 1809, and Windows 10, version 1903, these policies are applicable to users of the Enterprise and ..."
38,Microsoft,disabled employee news at Microsoft,https://sapphire-law.com/common-employment-issues-faced-by-microsoft-employees/,Employment Attorney for Microsoft Employees - Sapphire Legal,"If Microsoft terminated a person’s employment based on race, gender, disability, or another protected class, the employee would have more negotiating power. When negotiation isn’t an option, she will advise employees on all of their options, including filing a lawsuit and help them make the right decisions in terms of seeking compensation ..."
39,Microsoft,disabled employee news at Microsoft,https://www.vanityfair.com/news/business/2012/08/microsoft-lost-mojo-steve-ballmer,How Microsoft Lost Its Mojo: Steve Ballmer and Corporate ...,"Since 2000, Microsoft has lost its lead—and its mojo. With the tech giant’s future in question, Kurt Eichenwald computes how bad C.E.O. Steve Ballmer has been for business."
40,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/,Microsoft Community,"Ask the Microsoft Community. We're here to help! Post questions, follow discussions, share your knowledge. Learn how to get started."
41,Microsoft,disabled employee news at Microsoft,https://techcrunch.com/2021/03/04/inside-workvivos-plans-to-take-on-microsoft-in-the-employee-experience-space/,Inside Workvivo’s plans to take on Microsoft in the ...,"The company works with organizations ranging in size from 100 employees to over 100,000 and boasts more than 500,000 users. According to CEO and co-founder John Goulding, it’s had 100% retention ..."
42,Microsoft,disabled employee news at Microsoft,https://techcommunity.microsoft.com/t5/microsoft-sharepoint-blog/innovations-for-workplace-communications-and-employee-engagement/ba-p/1696149,Innovations for workplace communications and employee ...,"Boost news in SharePoint. Prioritize important news and announcements to appear at the top of news feeds across Microsoft 365. You can boost the visibility of a news article for a set time, until an employee has seen your content, or until a viewer has seen the item in their feed a set number of times. Share news to email, Microsoft Teams, and ..."
43,Microsoft,disabled employee news at Microsoft,https://www.bleepingcomputer.com/news/microsoft/microsoft-confirms-why-windows-defender-can-t-be-disabled-via-registry/,Microsoft confirms why Windows Defender can’t be disabled ...,Microsoft has confirmed that they no longer allow Microsoft Defender to be disabled via the Windows 10 Registry to support the Tamper Protection security feature. News Featured
44,Microsoft,disabled employee news at Microsoft,https://blogs.microsoft.com/blog/2015/08/05/the-employee-experience-at-microsoft-aligning-benefits-to-our-culture/,The employee experience at Microsoft: Aligning benefits to ...,"The employee experience at Microsoft: Aligning benefits to our culture. Aug 5, 2015 ... (opens new window) When I look at how rapidly the traditional workplace is changing, not just at Microsoft, but throughout business in general, I see a tremendous opportunity for companies to put a stake in the ground around what they believe in and what ..."
45,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_onedrivefb-mso_other-mso_o365b/access-to-onedrive-account-post-an-employee-resign/3a9d67c4-cbdd-49a6-9610-f16f4d09dbb6,Access to OneDrive account post an employee resign ...,"We are using OneDrive for Business to keep data sync on cloud for most of our employees. But when an emp. resigns, respective ID is deleted, how to access his data @Onedrive. As per my understanding, access to such deleted profile is assigned to respective office manager (may be IT head or any defined specific ID)."
46,Microsoft,disabled employee news at Microsoft,https://www.msn.com/en-us/news/technology/chats-can-now-be-disabled-during-microsoft-teams-meetings/ar-BB1dJo5R,Chats can now be disabled during Microsoft Teams meetings,"With the ability to disable chats during meetings, its a bit easier to keep people focused while on Teams. What you need to know Microsoft Teams now lets you disable chat during meetings. Chat can ..."
47,Microsoft,disabled employee news at Microsoft,https://www.tenforums.com/tutorials/153936-how-enable-disable-run-news-bar-startup-windows-10-a.html,How to Enable or Disable Run News Bar at Startup in ...,"How to Enable or Disable Run News Bar at Startup in Windows 10 The News Bar app brings you the latest news from the Microsoft News network of over 4500 of the world's most respected journalism brands. In addition, you can configure it to provide you with up to date information throughout the day on your favorite stocks."
48,Microsoft,disabled employee news at Microsoft,https://www.fastcompany.com/3002957/disabled-employee-amendment,The Debate Behind Disability Hiring - Fast Company,"Across Walgreens’s 21 distribution centers, 10% of its employees are disabled; the company would like to increase that slice to 20%. Implementing a disability program requires great flexibility ..."
49,Microsoft,employee accessibility news stories Microsoft,https://www.microsoft.com/en-us/accessibility/stories,Accessibility Stories | Microsoft Accessibility,"The Chief Accessibility Officer for Microsoft shares her inspiring story of overcoming the personal and professional challenges of deafness. Learn about Jenny Lay-Flurrie Opening up helps others ‘By the way, I’m visually impaired’: Sharing her disability helped others feel more welcome at work."
50,Microsoft,employee accessibility news stories Microsoft,https://news.microsoft.com/2021/02/04/microsoft-unveils-new-employee-experience-platform-microsoft-viva-to-help-people-thrive-at-work/,Microsoft unveils new Employee Experience Platform ...,"Company reimagines fragmented $300 billion market to bring tools for employee communications, wellbeing, learning and knowledge discovery into the flow of work REDMOND, Wash. — Feb. 4, 2021 — Microsoft Corp. on Thursday announced Microsoft Viva, the first employee experience platform to bring tools for employee engagement, learning, wellbeing and knowledge discovery, directly into the […]"
51,Microsoft,employee accessibility news stories Microsoft,https://blogs.microsoft.com/accessibility/empowering-employees-with-disabilities/,Empowering employees with disabilities - Microsoft ...,"At Microsoft, we often say, “come as you are, do what you love. ” Our business excels when our employees bring their full self to work.Simply put, inclusion drives innovation. W ith the unemployment rate for people with disabilities double that of people without disabilities and 1+ billion people around the world, we need to work together to create more inclusive workplaces."
52,Microsoft,employee accessibility news stories Microsoft,https://news.microsoft.com/employee-experience/,Reimagine the employee experience - news.microsoft.com,"Microsoft Viva: empowering every employee for the new digital age. Today we’re introducing Microsoft Viva, the first employee experience platform built for the digital era. Microsoft Viva brings together communications, knowledge, learning, resources and insights into an integrated experience that empowers people and teams to be their best, from anywhere."
53,Microsoft,employee accessibility news stories Microsoft,https://www.microsoft.com/en-us/accessibility,Accessibility Technology & Tools - Microsoft Accessibility,"Latest news about accessibility at Microsoft Ability Summit, May 5–6, 2021 Ability Summit is a two-day, free digital event experience that brings together people with disabilities, allies, and accessibility professionals to Imagine, Build, Include, and Empower the future of disability inclusion and accessibility."
54,Microsoft,employee accessibility news stories Microsoft,https://news.microsoft.com/features/,Features - Stories - news.microsoft.com,"News and Stories. Accessibility Blog; AI Blog; Customer Stories; Education Stories; Feature Stories; ... Unusual ‘machine in the woods’ taps clean energy deep underground for new Microsoft campus. March 10, 2021. New ideas and energized employees fuel Microsoft’s ongoing efforts toward racial equity. February 22, 2021. With lessons rooted ..."
55,Microsoft,employee accessibility news stories Microsoft,https://www.zdnet.com/article/microsoft-told-employees-to-work-from-home-one-consequence-was-brutal/,Microsoft told employees to work from home. One ...,Microsoft told employees to work from home. One consequence was brutal. Many people think they have a good idea of what working from home now means.
56,Microsoft,employee accessibility news stories Microsoft,https://www.cnbc.com/2019/04/15/employee-privacy-is-at-stake-as-surveillance-tech-monitors-workers.html,Employee privacy is at stake as surveillance tech monitors ...,"A 2018 survey by Gartner found that 22% of organizations worldwide in various industries are using employee-movement data, 17% are monitoring work-computer-usage data, and 16% are using Microsoft ..."
57,Microsoft,employee accessibility news stories Microsoft,https://www.zdnet.com/article/hacker-gains-access-to-a-small-number-of-microsofts-private-github-repos/,Hacker gains access to a small number of Microsoft's ...,A hacker has gained access to a Microsoft employee's GitHub account and has downloaded some of the company's private GitHub repositories. The intrusion is believed to have taken place in March ...
58,Microsoft,employee accessibility news stories Microsoft,https://www.businessinsider.com/microsoft-github-employee-backlash-board-representation-2019-12,"As GitHub employees quit, Microsoft could add an employee ...",The word News. Politics; ... More than 100 Microsoft employees last summer signed on to an open ... in which employees shared their stories. Women at Microsoft working in U.S.-based technical jobs ...
59,Microsoft,employee accessibility news stories Microsoft,https://www.cbsnews.com/news/microsoft-employees-office-reopening-hybrid-work/,Microsoft says Washington employees can head ... - CBS News,Microsoft says Washington employees can head back to the office. But a new study from the company suggests many won't want to. By Sarah Ewall-Wice
60,Microsoft,employee accessibility news stories Microsoft,https://news.microsoft.com/stories/,Microsoft Story Labs,Story Labs 360 — Explore one of Microsoft's mixed reality capture studios in 360 degrees. Simple Things Count — Easy ways to promote accessibility and inclusion for people with disabilities. Jenny Lay-Flurrie — Stories from inside Microsoft’s journey to design a more accessible world.
61,Microsoft,employee accessibility news stories Microsoft,https://blogs.microsoft.com/on-the-issues/2019/07/12/the-power-of-inclusion-extending-our-learnings-from-the-supported-employment-program/,"The power of inclusion, extending ... - blogs.microsoft.com","Jul 12, 2019 | Jenny Lay-Flurrie - Chief Accessibility Officer Fathi Mohamed from the Supported Employment Program waves from the Microsoft Connector bus. Our mission at Microsoft is to empower every person and every organization on the planet to achieve more. That includes the 1+ billion people with disabilities around the world."
62,Microsoft,employee accessibility news stories Microsoft,https://microsoftnews.msn.com/,Microsoft News,Microsoft News
63,Microsoft,employee accessibility news stories Microsoft,https://www.msn.com/en-us/news/technology/microsoft-allowing-employees-in-redmond-bellevue-and-seattle-to-work-at-headquarters/ar-BB1f6qE4,"Microsoft allowing employees in Redmond, Bellevue and ...","Microsoft allowing employees in Redmond, Bellevue and Seattle to work at headquarters Abby Acone, KOMO News Reporter/Meteorologist 1 day ago Covid long-haulers deserve the ADA's reasonable ..."
64,Microsoft,employee accessibility news stories Microsoft,https://techcrunch.com/2021/02/04/microsoft-launches-viva-its-new-take-on-the-old-intranet/,"Microsoft launches Viva, its new take on the old intranet ...","Microsoft today launched Viva, a new “employee experience platform,” or, in non-marketing terms, its new take on the intranet sites most large companies tend to offer their employees."
65,Microsoft,employee accessibility news stories Microsoft,https://www.nytimes.com/2020/03/15/technology/microsoft-coronavirus-response.html,"Ahead of the Pack, How Microsoft Told Workers to Stay Home ...","For Mr. Nadella, the 52-year-old executive credited with turning around Microsoft’s slumping business, the news was personally alarming. His son has cerebral palsy, which weakens his immune system."
66,Microsoft,employee accessibility news stories Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/cross-disability/hiring.aspx,Inclusive Hiring at Microsoft,Learn more about Microsoft’s Accessibility efforts and what we are doing to empower the 1 billion+ people around the world who have a disability. ... The Ability Hack challenges employees to build opportunities that empower people with disabilities through technology. ... News & Stories. News & Stories. Microsoft's 2020 Diversity and ...
67,Microsoft,employee accessibility news stories Microsoft,https://www.cnbc.com/2021/01/22/microsoft-president-brad-smith-defends-mspac-to-employees.html,Microsoft President Brad Smith defends MSPAC to employees,"Microsoft employees in the U.S. can give some of their income to the MSPAC, but have no direct say in which candidates it donates to. On Jan. 11 the company said it was putting donations on hold ..."
68,Microsoft,employee accessibility news stories Microsoft,https://customers.microsoft.com/,Microsoft Customer Stories,Microsoft customer stories. See how Microsoft tools help companies run their business.
69,Microsoft,employee accessibility news stories Microsoft,https://news.microsoft.com/transform/now-its-personal-unilevers-digital-journey-leads-to-real-results-for-consumers-and-employees/,Now it’s personal: Unilever’s ... - news.microsoft.com,"At the Microsoft Inspire 2019 conference, Microsoft’s executive vice-president of Worldwide Commercial Business, Judson Althoff, spoke to Unilever executives about how Microsoft technology is fueling Unilever’s digital transformation. Above, Althoff greets employees at a Unilever factory in Valinhos, Brazil ."
70,Microsoft,employee accessibility news stories Microsoft,https://blogs.microsoft.com/on-the-issues/2021/01/22/transcript-brad-smiths-remarks-at-an-employee-meeting-thursday/,Transcript: Brad Smith's remarks at an employee meeting ...,"Updated: 1/23/2021, 2:15 p.m. PT Microsoft confirmed publicly today, as it announced internally on Jan. 8, that it has halted all donations of its PAC while it reviews whether to suspend further donations to individuals who voted against certification of the Electoral College. The company added that it will announce its decision by Feb. 15..."
71,Microsoft,employee accessibility news stories Microsoft,https://www.zdnet.com/article/i-looked-at-all-the-ways-microsoft-teams-tracks-users-and-my-head-is-spinning/,I looked at all the ways Microsoft Teams tracks users and ...,"Working from home: The future of business is remote; I looked at all the ways Microsoft Teams tracks users and my head is spinning; Nights and weekends: Remote work may mean longer hours, lost liberty"
72,Microsoft,employee accessibility news stories Microsoft,https://www.nytimes.com/topic/company/microsoft-corporation,Microsoft Corporation - The New York Times,"Microsoft will make augmented reality headsets for the Army in a $21.9 billion deal. The arrangement is likely to create waves inside Microsoft, where some employees have objected to working with ..."
73,Microsoft,employee accessibility news stories Microsoft,https://www.microsoft.com/en-us/edge/microsoft-news,Microsoft News App for Edge | Microsoft,"Available in 31 languages, Microsoft News includes options to follow specific topics, mute publishers, and read local news from anywhere in the world. Completely free on all your devices Access breaking news and trending stories across desktop and mobile through Microsoft News for Windows, macOS, iOS, and Android."
74,Microsoft,employee accessibility news stories Microsoft,https://www.vox.com/policy-and-politics/2019/4/11/18304536/microsoft-women-discrimination-harassment-complaints,Microsoft discrimination: women say ... - Understand the News,"Female Microsoft employees filed 118 internal complaints about gender discrimination between 2010 and 2016, according to documents made public in March 2018 as part of the court case. The company ..."
75,Microsoft,employee accessibility news stories Microsoft,https://www.microsoft.com/en-us/microsoft-365/customer-stories,Microsoft 365 Customer Stories,"Health teams at St. Luke’s University Health Network were already using Microsoft 365 when COVID-19 hit, and quickly saw the value of Microsoft Teams as a collaboration solution to collect data and create a treatment protocol based on and evaluated against their own real-time data."
76,Microsoft,employee accessibility news stories Microsoft,https://blogs.microsoft.com/blog/2020/06/05/change-in-ourselves-helps-drive-change-in-the-world/,Change in ourselves helps drive ... - blogs.microsoft.com,"An email from CEO Satya Nadella to Microsoft employees: Seeing injustice in the world calls us all to take action, as individuals and as a company. Sometimes this action is personal – what do I do to change? Sometimes it is organizational – what changes do I need to make around me? And sometimes it is reflected..."
77,Microsoft,employee accessibility news stories Microsoft,https://answers.microsoft.com/en-us/edge/forum/edge_open-edge_win10/how-do-i-remove-the-msn-news-feed-from-edge/8e008f68-10fd-4c2c-a13a-68cd5c303432,how do i remove the msn news feed from edge - Microsoft ...,"You can also set the New tab page option to A blank page so that you will not see MSN news when opening a new tab. To do change these options, follow these steps: Access Microsoft Edge. Click the three dots icon on the upper right part of Microsoft Edge. Under Open Microsoft Edge with, click the drop-down menu and choose New tab page."
78,Microsoft,employee accessibility news stories Microsoft,https://www.theverge.com/2021/2/4/22265954/microsoft-viva-platform-features-remote-work,Microsoft Viva: a new platform designed for the future of ...,Microsoft Viva is Microsoft’s new push for helping businesses with remote work and a big bet on this new way of life becoming the norm. It’s designed to act as a portal for both employees and ...
79,Microsoft,employee accessibility news stories Microsoft,https://store.ecompanystore.com/microsoft/Shop/Landing,Microsoft Company Store,Welcome to the Microsoft Company Store Tell us a little bit more about who you are: Microsoft Alumni; VIP or MTC Store Pass Holder; Friends and Family Pass Holder
80,Microsoft,employee accessibility news stories Microsoft,https://templates.office.com/en-us/Employee-newsletter-TM06088944,Employee newsletter - templates.office.com,"Employee newsletter. This four page employee newsletter template has sections for news, messages, calendars, events, and a table of contents."
81,Microsoft,employee accessibility news stories Microsoft,https://www.geekwire.com/2014/internal-memo-microsoft-cut-external-staff-18-months-requiring-six-month-break/,Internal memo: Microsoft to cut off all ‘external staff ...,"Any Microsoft employee who separated from Microsoft on or after July 1, 2014, will be required to take a minimum 6-month break from access between the day the employee separates from Microsoft and ..."
82,Microsoft,employee accessibility news stories Microsoft,https://www.nytimes.com/2020/12/31/technology/microsoft-russia-hack.html,Microsoft Says Russian Hackers Viewed Some of Its Source ...,Microsoft said on Thursday that the far-reaching Russian hack of U.S. government agencies and private corporations had gone further into its network than the company previously understood.. While ...
